timestamp nodeid seqnumber itemperature ivoltage humidity temperature PAR TSR
1163708212968 13 23 22,03 2,99 52,98 22,09 2 3
1163708220500 6 24 18,01 3 53,14 22,82 2 2
1163708227187 14 23 17,59 2,66 56,45 21,84 2 3
1163708241796 15 23 19,14 3 57 21,4 104 136
1163708248546 16 23 22,13 2,62 53,83 21,66 90 111
1163708265203 18 23 22,44 3 48,92 25,16 8 5
1163708266781 17 23 23,37 3 46,11 25,4 1 1
1163708282140 19 23 22,55 2,99 47,82 24,92 114 158
1163708285296 20 23 24,2 3 49,3 25,09 143 152
1163708347500 3 24 19,25 3 57,18 23,03 15 17
1163708380250 2 24 22,86 2,98 56,98 22,7 6 8
1163708391421 1 24 16,67 3 59,49 22,42 5 5
1163708401625 7 25 17,49 3 53,7 22,8 3 4
1163708476843 12 24 24,61 2,63 49,93 23,71 1 0
1163708481718 10 24 21,72 2,65 50,9 24,02 1 1
1163708488437 9 24 22,44 2,64 51,4 23,26 0 0
1163708490578 5 25 24,61 2,96 50,83 22,57 9 8
1163708504062 11 24 22,55 2,62 49,32 23,7 1 1
1163708512046 8 25 20,48 3 50,94 23,14 2 2
1163708512984 13 24 22,03 2,98 52,87 22,19 2 2
1163708520531 6 25 18,01 3 54,05 22,79 2 1
1163708527203 14 24 17,9 2,65 56,24 21,9 2 3
1163708541828 15 24 19,66 3 55,45 21,92 95 132
1163708548578 16 24 22,44 2,62 53,14 21,86 88 120
1163708565234 18 24 22,86 3 49,31 25,16 8 10
1163708566796 17 24 23,37 3 46,18 25,44 1 1
1163708582156 19 24 22,55 2,99 47,6 24,94 75 111
1163708585328 20 24 24,2 3 49,43 25,1 141 181
1163708647515 3 25 19,25 3 57,18 23,07 0 1
1163708680265 2 25 22,96 2,98 56,62 22,8 1 0
1163708691437 1 25 16,77 3 59,33 22,53 1 1
1163708701656 7 26 17,49 3 53,81 22,92 3 3
1163708776875 12 25 24,51 2,63 49,99 23,69 1 0
1163708781750 10 25 22,03 2,65 50,96 24,02 1 1
